REGION,user_id,campaign,medium,source,LP_benefit_activation,unsubscribe,cancellation
europe-west1,001sDt9y82NUwr5ERZnE49Px3fu1,daisycon_Face à la crise,affiliate,daisycon,,,
europe-west1,004qmM5JVnfg92slFBN04ZmLodJ2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,00EH7upLXqXvtq0Z7MxSnE6X8Ci1,23WAE-SE-NC-AO-CPC-onlinegrocery_2023_WAL_Ecom_Search_NA_AlwaysOn_Consideration_OnlineGrocery,cpc,google,2,,
europe-west1,00XsCT7TVKVkHsksyWov7swNKZg2,24WAE-FB-PC-AO-CPL-bestsellers_2024_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,3,,
europe-west1,01Eg2z0gfnP0OnoWKJLoPxaIFdj2,(organic),organic,google,,,
europe-west1,01PGA8cl06MnaoqbAOduKZx7eSk2,20230706_BENL_Kitkat_Subscribers,email,email,,,
europe-west1,01ZeW12yH7W7HAVA7rX6c4mRK8c2,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,5,,
europe-west1,01jO39hH27S3NLltGXeByYHTMz13,20230713_BENL_Tilda83_Subscribers_Firstname,email,email,,,
europe-west1,01tzxbUvX0ZupawgDykwucvARPM2,23WAE-FB-PC-AO-CPL-bestsellers_2023_WAL_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,023XpF4d7zbHQ73WcRKoVFUVUfp1,(referral),referral,foodello.nl,,,
europe-west1,02FBzMXMXNXYfWQnQSOqK0mGbGy1,23VLE-FB-PP-D-ROAS_2023_VLG_Ecom_Facebook_PROS_Dynamic_Purchase,paid_social,facebook,4,1,
europe-west1,02Z6ApU9c7R5afDE7XPhybhGY5Q2,20230617_BENL_sustainabilitytips_Subscribers,email,email,8,,
europe-west1,02jlnwr5oBaj7ilpIImnIPJdMHG2,23VLE-FB-PC-AO-CPL-bestsellers_2023_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,3,,
europe-west1,02v9ksOiRKSFB62aR7WlmiMeeAi2,24VLE-FB-PC-AO-CPL-bestsellers_2024_VLG_Ecom_Facebook_PROS_AlwaysOn_Consideration_Bestsellers,paid_social,facebook,,,
europe-west1,03HORAIX2gh80xdz3HmixxUIyUs1,22VLB-SE-NA-AO-CPM-brand_2022_VLG_Brand_Search_NA_AlwaysOn_Awareness_Brand,cpc,google,1,,
europe-west1,03sV50jQ46ZQhilyN5VLGrhe5SQ2,(organic),organic,google,,,
europe-west1,03zlNCLb6BZisUQLMS9PgZiufm92,20230706_BENL_Kitkat_Subscribers,email,email,,,
